Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
29/ 11/ 2022,18650,19050,17750,16850,14950,17350,17550,18050,16700,18250,18000,18350,19350,18050,17650,17950,18950,18900,22450,18800,19450,21050,18600,19450,22200,17900,21450,19250,17950,18900,21500,22750,21350,26200
06/ 12/ 2022,18650,18950,17800,16850,14950,17350,17550,18000,16950,18250,18000,18450,19600,17950,17650,18150,19050,18900,22250,18800,19450,21050,18550,19350,21950,17900,21450,19300,17950,18900,21500,22750,21300,26200
13/ 12/ 2022,18650,18800,17900,16900,14950,17600,17850,18000,17050,18300,18000,18400,19850,17950,17700,18300,19100,18900,22250,18850,19450,21150,18800,19300,22400,17900,21450,19300,17950,18850,21500,20850,20700,25350
20/ 12/ 2022,18650,18900,17850,16900,14950,17600,17850,18100,17150,18450,18000,18450,19850,18100,17800,18400,19350,18900,22250,18950,19450,21300,19100,18950,22900,18150,21450,18100,18900,18900,21600,20750,20650,25350
27/ 12/ 2022,19300,19200,17950,16900,15550,17600,17850,18050,17050,18650,18000,18450,19500,18150,17900,18350,19500,18900,21700,18950,19450,21200,19050,19200,22700,18150,21450,18100,18950,19050,21500,20750,21200,25350
03/ 01/ 2023,19450,19600,17800,16900,15550,17600,17850,18050,17050,18600,18000,18400,19850,18050,17900,18300,19500,18950,21700,19000,19350,21200,19050,18800,22800,18100,21400,17950,19000,19050,21500,20750,21500,25350
10/ 01/ 2023,19850,19700,17950,16900,15900,17750,17850,18150,17050,18650,18000,18400,19700,17950,17900,18350,19500,19050,21700,18900,19300,21200,19100,18850,23250,17800,21400,17950,19000,19400,21550,20750,21500,24700
17/ 01/ 2023,19800,19800,18750,17150,15900,17750,17850,18150,17050,18650,18000,18450,19500,18000,17900,18350,19500,19250,21700,18900,19450,21050,19050,18950,25100,17950,21400,17850,19550,19250,21550,20750,21200,24700
24/ 01/ 2023,19750,19850,18900,17150,15900,17750,17850,18200,17050,18600,18000,18450,19500,17950,17900,18450,19800,19350,21700,18950,19450,21150,19150,18950,25250,18150,21400,17900,19650,19550,21550,20750,20450,24700
31/ 01/ 2023,19750,19850,18750,17150,16200,17750,17850,18250,17200,18600,18000,18450,19550,18050,17900,18400,20000,19350,21600,18950,19300,21250,19200,19250,25900,18250,21300,18000,19800,19600,21550,20750,20450,24700
07/ 02/ 2023,19500,19850,18600,17150,16350,17750,17950,18300,17550,18600,18100,18500,19300,18050,17900,18300,19500,19400,21550,19000,19550,21150,19300,19450,25500,18550,21300,18000,19550,19600,21500,20500,20600,24700
14/ 02/ 2023,19350,19800,18650,17150,16350,17750,17950,18200,18300,18600,18100,18450,19500,18050,17700,18150,19350,19300,21550,19000,19600,21150,19500,19050,24950,18800,21350,18150,19300,20150,21550,20500,20700,24700
21/ 02/ 2023,19300,19650,18650,17450,16350,17750,18200,18150,17500,18600,18100,18400,19450,17950,17700,18050,19350,19250,21150,18850,19650,21200,19350,19050,24500,18550,21400,18150,19000,20250,21800,21750,20700,24700
28/ 02/ 2023,19200,19600,18500,17400,16350,17650,19200,18100,17500,18500,18100,18350,19400,17950,17650,18250,19350,19300,21150,18750,19650,21200,19400,19050,24350,18600,21400,18200,18850,19900,21800,21750,20750,24700
07/ 03/ 2023,19150,19550,18450,17400,16450,17650,19200,18150,17350,18500,18050,18300,19250,17800,17550,18150,19350,19300,21300,18750,19700,21200,19450,19600,24700,18450,21400,18650,19800,19800,21800,21750,20850,24700
14/ 03/ 2023,19250,19600,18450,17400,16500,17650,19200,18250,17350,18600,18050,18250,19250,17800,17400,18200,19550,19300,21300,18750,19700,21200,19450,19750,24900,18400,21400,18650,19250,19800,22000,21750,20850,25050
21/ 03/ 2023,19350,19700,18700,17650,16500,17650,19200,18300,17200,18600,18000,18250,19300,17850,17400,18100,19550,19300,21300,18750,19700,21050,19350,19850,26750,18600,21650,18650,18900,19800,21950,21900,20850,25050
